PERMNO,date,TICKER,COMNAM,PRIMEXCH,DIVAMT,PRC,VOL,BID,ASK,OPENPRC,NUMTRD,vwretd,ewretd,sprtrn
89393,2016/07/19,NFLX,NETFLIX INC,Q,,85.84000,55685209,85.81000,85.83000,85.43000,336250,-0.002354,-0.004731,-0.001435
89393,2016/07/20,NFLX,NETFLIX INC,Q,,87.91000,23525141,87.91000,87.92000,86.67000,128725,0.004624,0.006200,0.004270
89393,2016/07/21,NFLX,NETFLIX INC,Q,,85.99000,16083996,85.98000,85.99000,88.30000,89610,-0.003324,-0.001343,-0.003612
89393,2016/07/22,NFLX,NETFLIX INC,Q,,85.89000,11363917,85.88000,85.89000,86.48000,66693,0.004496,0.004517,0.004554
89393,2016/07/25,NFLX,NETFLIX INC,Q,,87.66000,14135027,87.66000,87.67000,85.73000,73588,-0.003157,-0.003692,-0.003011
89393,2016/07/26,NFLX,NETFLIX INC,Q,,91.41000,19577623,91.41000,91.45000,91.03000,117594,0.001613,0.004154,0.000323
89393,2016/07/27,NFLX,NETFLIX INC,Q,,92.04000,8727517,92.04000,92.05000,91.50000,54492,-0.001252,0.001894,-0.001199
89393,2016/07/28,NFLX,NETFLIX INC,Q,,91.65000,6227698,91.63000,91.65000,91.92000,42240,0.001656,-0.000085,0.001606
89393,2016/07/29,NFLX,NETFLIX INC,Q,,91.25000,6960222,91.23000,91.25000,91.19000,40205,0.002624,0.003096,0.001631
89393,2016/08/01,NFLX,NETFLIX INC,Q,,94.37000,10666945,94.37000,94.38000,91.23000,66962,-0.002250,-0.002160,-0.001270
89393,2016/08/02,NFLX,NETFLIX INC,Q,,93.56000,9836483,93.56000,93.57000,94.00000,59202,-0.007086,-0.008434,-0.006362
89393,2016/08/03,NFLX,NETFLIX INC,Q,,93.10000,7030916,93.07000,93.09000,93.28000,41553,0.004374,0.007193,0.003134
89393,2016/08/04,NFLX,NETFLIX INC,Q,,93.44000,6043394,93.43000,93.44000,93.20000,35475,0.000807,0.002477,0.000213
89393,2016/08/05,NFLX,NETFLIX INC,Q,,97.03000,18364901,97.04000,97.05000,93.77000,106694,0.008051,0.008414,0.008603
89393,2016/08/08,NFLX,NETFLIX INC,Q,,95.11000,10135601,95.09000,95.11000,95.91000,61959,0.000104,0.002457,-0.000907
89393,2016/08/09,NFLX,NETFLIX INC,Q,,93.99000,9175413,93.97000,93.99000,95.12000,59723,0.001072,0.000815,0.000390
89393,2016/08/10,NFLX,NETFLIX INC,Q,,93.93000,6511142,93.93000,93.94000,94.40000,43597,-0.002558,-0.004815,-0.002865
89393,2016/08/11,NFLX,NETFLIX INC,Q,,95.89000,8547659,95.89000,95.90000,94.60000,54582,0.004803,0.005230,0.004735
89393,2016/08/12,NFLX,NETFLIX INC,Q,,96.59000,6592923,96.59000,96.60000,95.53000,42597,-0.000493,0.000415,-0.000796
89393,2016/08/15,NFLX,NETFLIX INC,Q,,95.31000,7304620,95.31000,95.32000,96.83000,45342,0.004006,0.007005,0.002793
89393,2016/08/16,NFLX,NETFLIX INC,Q,,95.12000,6311339,95.11000,95.14000,95.19000,40043,-0.005476,-0.003700,-0.005479
89393,2016/08/17,NFLX,NETFLIX INC,Q,,96.37000,8315615,96.37000,96.39000,94.94000,50799,0.001046,-0.001361,0.001869
89393,2016/08/18,NFLX,NETFLIX INC,Q,,96.16000,7252649,96.15000,96.17000,95.98000,47714,0.003379,0.005752,0.002200
89393,2016/08/19,NFLX,NETFLIX INC,Q,,95.87000,6942892,95.87000,95.89000,96.05000,41138,-0.001829,-0.001544,-0.001440
89393,2016/08/22,NFLX,NETFLIX INC,Q,,95.26000,5830548,95.24000,95.26000,95.67000,37386,-0.000426,0.000422,-0.000563
89393,2016/08/23,NFLX,NETFLIX INC,Q,,95.94000,5239106,95.94000,95.95000,95.68000,33968,0.002813,0.004415,0.001952
89393,2016/08/24,NFLX,NETFLIX INC,Q,,95.18000,6276468,95.18000,95.20000,96.13000,42318,-0.006041,-0.007106,-0.005240
89393,2016/08/25,NFLX,NETFLIX INC,Q,,97.32000,10823055,97.31000,97.33000,96.38000,68088,-0.000647,-0.000007,-0.001365
89393,2016/08/26,NFLX,NETFLIX INC,Q,,97.58000,6617636,97.57000,97.60000,97.33000,45007,-0.001830,-0.001858,-0.001579
89393,2016/08/29,NFLX,NETFLIX INC,Q,,97.30000,8008430,97.29000,97.31000,96.97000,45104,0.005231,0.005104,0.005228
89393,2016/08/30,NFLX,NETFLIX INC,Q,,97.45000,6093536,97.45000,97.46000,97.84000,37377,-0.001520,-0.000381,-0.001954
